experiment_id,method,intervention,washout_batches,seed,panel_id,disagreement,accuracy_ab,accuracy_ba,signed_error_gap,absolute_error_gap,nll_gap,brier_gap,first_batch_max_logit_diff,n_scenarios
stage_a_uci_v2,tent,aux,0,29,uci_internal_fixed,0.0,0.8447265625,0.8447265625,0.0,0.0,1.7799686981245094e-05,-2.633228041880667e-06,0.010980606079101549,2
stage_a_uci_v2,tent,aux,0,43,uci_internal_fixed,0.0,0.880859375,0.880859375,0.0,0.0,8.363321520383433e-05,2.3278565454986494e-05,0.0084726810455322,2
stage_a_uci_v2,tent,aux,4,17,uci_internal_fixed,0.0,0.861328125,0.861328125,0.0,0.0,-1.6961185307570736e-05,-9.55651940180366e-06,0.0050022602081298,2
stage_a_uci_v2,tent,aux,4,29,uci_internal_fixed,0.0,0.8447265625,0.8447265625,0.0,0.0,1.452539129353711e-05,-6.623748391408613e-07,0.00723075866699215,2
stage_a_uci_v2,tent,aux,4,43,uci_internal_fixed,0.0,0.880859375,0.880859375,0.0,0.0,5.429369370337976e-05,1.4982836645178674e-05,0.005545973777770949,2
stage_a_uci_v2,tent,none,0,17,uci_internal_fixed,0.0009765625,0.8603515625,0.859375,-0.0009765625,0.0009765625,-2.2949739964178012e-05,-1.3939091297097623e-05,0.007641315460205,2
stage_a_uci_v2,tent,none,0,29,uci_internal_fixed,0.0,0.8447265625,0.8447265625,0.0,0.0,1.7799686981245094e-05,-2.633228041880667e-06,0.010980606079101549,2
stage_a_uci_v2,tent,none,0,43,uci_internal_fixed,0.0,0.880859375,0.880859375,0.0,0.0,8.363321520383433e-05,2.3278565454986494e-05,0.0084726810455322,2
stage_a_uci_v2,tent,none,4,17,uci_internal_fixed,0.0,0.861328125,0.861328125,0.0,0.0,-1.6961185307570736e-05,-9.55651940180366e-06,0.0050022602081298,2
stage_a_uci_v2,tent,none,4,29,uci_internal_fixed,0.0,0.8447265625,0.8447265625,0.0,0.0,1.452539129353711e-05,-6.623748391408613e-07,0.00723075866699215,2
stage_a_uci_v2,tent,none,4,43,uci_internal_fixed,0.0,0.880859375,0.880859375,0.0,0.0,5.429369370337976e-05,1.4982836645178674e-05,0.005545973777770949,2
stage_a_uci_v2,tent,optimizer,0,17,uci_internal_fixed,0.0009765625,0.8603515625,0.859375,-0.0009765625,0.0009765625,-3.9568284936772335e-05,-2.7743242864652212e-05,0.007641315460205,2
stage_a_uci_v2,tent,optimizer,0,29,uci_internal_fixed,0.0,0.8447265625,0.8447265625,0.0,0.0,3.575313481859674e-05,-3.6610564236299447e-06,0.010980606079101549,2
stage_a_uci_v2,tent,optimizer,0,43,uci_internal_fixed,0.0,0.880859375,0.880859375,0.0,0.0,0.00019237670867712514,4.518068828910021e-05,0.0084726810455322,2
stage_a_uci_v2,tent,optimizer,4,17,uci_internal_fixed,0.0,0.861328125,0.861328125,0.0,0.0,-2.57843377544989e-05,-1.800580725420768e-05,0.0050022602081298,2
stage_a_uci_v2,tent,optimizer,4,29,uci_internal_fixed,0.0,0.8447265625,0.8447265625,0.0,0.0,2.397684046474835e-05,-2.0042984909679493e-06,0.00723075866699215,2
stage_a_uci_v2,tent,optimizer,4,43,uci_internal_fixed,0.0,0.880859375,0.880859375,0.0,0.0,0.00012704829872721096,2.9912522608413136e-05,0.005545973777770949,2
stage_a_uci_v2,tent,optimizer_aux,0,17,uci_internal_fixed,0.0009765625,0.8603515625,0.859375,-0.0009765625,0.0009765625,-3.9568284936772335e-05,-2.7743242864652212e-05,0.007641315460205,2
stage_a_uci_v2,tent,optimizer_aux,0,29,uci_internal_fixed,0.0,0.8447265625,0.8447265625,0.0,0.0,3.575313481859674e-05,-3.6610564236299447e-06,0.010980606079101549,2
stage_a_uci_v2,tent,optimizer_aux,0,43,uci_internal_fixed,0.0,0.880859375,0.880859375,0.0,0.0,0.00019237670867712514,4.518068828910021e-05,0.0084726810455322,2
stage_a_uci_v2,tent,optimizer_aux,4,17,uci_internal_fixed,0.0,0.861328125,0.861328125,0.0,0.0,-2.57843377544989e-05,-1.800580725420768e-05,0.0050022602081298,2
stage_a_uci_v2,tent,optimizer_aux,4,29,uci_internal_fixed,0.0,0.8447265625,0.8447265625,0.0,0.0,2.397684046474835e-05,-2.0042984909679493e-06,0.00723075866699215,2
stage_a_uci_v2,tent,optimizer_aux,4,43,uci_internal_fixed,0.0,0.880859375,0.880859375,0.0,0.0,0.00012704829872721096,2.9912522608413136e-05,0.005545973777770949,2
stage_a_uci_v2,tent,parameters,0,17,uci_internal_fixed,0.0,0.859375,0.859375,0.0,0.0,1.3484938090006088e-05,1.2942197803490763e-05,0.0,2
stage_a_uci_v2,tent,parameters,0,29,uci_internal_fixed,0.0,0.8447265625,0.8447265625,0.0,0.0,-1.5943871696944695e-05,1.4065828303679731e-06,0.0,2
stage_a_uci_v2,tent,parameters,0,43,uci_internal_fixed,0.0,0.880859375,0.880859375,0.0,0.0,-0.00010738566674893292,-2.1385526391769216e-05,0.0,2
stage_a_uci_v2,tent,parameters,4,17,uci_internal_fixed,0.0,0.859375,0.859375,0.0,0.0,8.050189924457135e-06,8.352170139992038e-06,0.0,2
stage_a_uci_v2,tent,parameters,4,29,uci_internal_fixed,0.0,0.8447265625,0.8447265625,0.0,0.0,-7.432785928698782e-06,1.9980773558400666e-06,0.0,2
stage_a_uci_v2,tent,parameters,4,43,uci_internal_fixed,0.0,0.880859375,0.880859375,0.0,0.0,-7.17310953467839e-05,-1.449108461071269e-05,0.0,2
stage_a_uci_v2,tent,parameters_aux,0,17,uci_internal_fixed,0.0,0.859375,0.859375,0.0,0.0,1.3484938090006088e-05,1.2942197803490763e-05,0.0,2
stage_a_uci_v2,tent,parameters_aux,0,29,uci_internal_fixed,0.0,0.8447265625,0.8447265625,0.0,0.0,-1.5943871696944695e-05,1.4065828303679731e-06,0.0,2
stage_a_uci_v2,tent,parameters_aux,0,43,uci_internal_fixed,0.0,0.880859375,0.880859375,0.0,0.0,-0.00010738566674893292,-2.1385526391769216e-05,0.0,2
stage_a_uci_v2,tent,parameters_aux,4,17,uci_internal_fixed,0.0,0.859375,0.859375,0.0,0.0,8.050189924457135e-06,8.352170139992038e-06,0.0,2
stage_a_uci_v2,tent,parameters_aux,4,29,uci_internal_fixed,0.0,0.8447265625,0.8447265625,0.0,0.0,-7.432785928698782e-06,1.9980773558400666e-06,0.0,2
