experiment_id,method,intervention,washout_batches,direction,seed,panel_id,accuracy,nll,brier,ece15,seconds,updates,skipped,recoveries,n_scenarios
stage_a_uci_v2,source,all,0,ab,17,uci_internal_fixed,0.8681640625,0.39369090117525873,0.19237211218524314,0.04125574814589005,0.04916629999934225,0.0,0.0,0.0,2
stage_a_uci_v2,source,all,0,ab,29,uci_internal_fixed,0.84375,0.49965523580356414,0.2361934600178015,0.03959627423661675,0.062094350003462695,0.0,0.0,0.0,2
stage_a_uci_v2,source,all,0,ab,43,uci_internal_fixed,0.73046875,0.7622904980643,0.3899955651400401,0.1503717455661486,0.04585844999382965,0.0,0.0,0.0,2
stage_a_uci_v2,source,all,0,ba,17,uci_internal_fixed,0.8681640625,0.39369090117525873,0.19237211218524314,0.04125574814589005,0.0635900499983108,0.0,0.0,0.0,2
stage_a_uci_v2,source,all,0,ba,29,uci_internal_fixed,0.84375,0.49965523580356414,0.2361934600178015,0.03959627423661675,0.062341199998627396,0.0,0.0,0.0,2
stage_a_uci_v2,source,all,0,ba,43,uci_internal_fixed,0.73046875,0.7622904980643,0.3899955651400401,0.1503717455661486,0.04685149999568235,0.0,0.0,0.0,2
stage_a_uci_v2,source,all,4,ab,17,uci_internal_fixed,0.8681640625,0.39369090117525873,0.19237211218524314,0.04125574814589005,0.049646749997918904,0.0,0.0,0.0,2
stage_a_uci_v2,source,all,4,ab,29,uci_internal_fixed,0.84375,0.49965523580356414,0.2361934600178015,0.03959627423661675,0.082840799994301,0.0,0.0,0.0,2
stage_a_uci_v2,source,all,4,ab,43,uci_internal_fixed,0.73046875,0.7622904980643,0.3899955651400401,0.1503717455661486,0.04769820000365135,0.0,0.0,0.0,2
stage_a_uci_v2,source,all,4,ba,17,uci_internal_fixed,0.8681640625,0.39369090117525873,0.19237211218524314,0.04125574814589005,0.047000749997096095,0.0,0.0,0.0,2
stage_a_uci_v2,source,all,4,ba,29,uci_internal_fixed,0.84375,0.49965523580356414,0.2361934600178015,0.03959627423661675,0.0727789999946253,0.0,0.0,0.0,2
stage_a_uci_v2,source,all,4,ba,43,uci_internal_fixed,0.73046875,0.7622904980643,0.3899955651400401,0.1503717455661486,0.04664565000712165,0.0,0.0,0.0,2
stage_a_uci_v2,source,none,0,ab,17,uci_internal_fixed,0.8681640625,0.39369090117525873,0.19237211218524314,0.04125574814589005,0.0771564000024227,0.0,0.0,0.0,2
