experiment_id,seed,panel_id,scenario,method,intervention,washout_batches,n,disagreement,accuracy_ab,accuracy_ba,signed_error_gap,absolute_error_gap,nll_gap,brier_gap,first_batch_max_logit_diff
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,sar_complete,parameters_aux,0,512,0.0,0.708984375,0.708984375,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,sar_complete,optimizer_aux,0,512,0.0,0.708984375,0.708984375,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,sar_complete,parameters_optimizer_aux,0,512,0.0,0.708984375,0.708984375,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,sar_complete,all,0,512,0.0,0.708984375,0.708984375,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,sar_complete,none,4,512,0.0,0.708984375,0.708984375,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,sar_complete,parameters,4,512,0.0,0.708984375,0.708984375,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,sar_complete,optimizer,4,512,0.0,0.708984375,0.708984375,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,sar_complete,parameters_optimizer,4,512,0.0,0.708984375,0.708984375,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,sar_complete,aux,4,512,0.0,0.708984375,0.708984375,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,sar_complete,parameters_aux,4,512,0.0,0.708984375,0.708984375,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,sar_complete,optimizer_aux,4,512,0.0,0.708984375,0.708984375,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,sar_complete,parameters_optimizer_aux,4,512,0.0,0.708984375,0.708984375,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,sar_complete,all,4,512,0.0,0.708984375,0.708984375,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,29,uci_internal_fixed,blur_noise_to_clean,source,none,0,512,0.0,0.98046875,0.98046875,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,29,uci_internal_fixed,blur_noise_to_clean,source,all,0,512,0.0,0.98046875,0.98046875,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,29,uci_internal_fixed,blur_noise_to_clean,source,none,4,512,0.0,0.98046875,0.98046875,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,29,uci_internal_fixed,blur_noise_to_clean,source,all,4,512,0.0,0.98046875,0.98046875,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,29,uci_internal_fixed,blur_noise_to_clean,norm,none,0,512,0.0,0.98046875,0.98046875,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,29,uci_internal_fixed,blur_noise_to_clean,norm,all,0,512,0.0,0.98046875,0.98046875,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,29,uci_internal_fixed,blur_noise_to_clean,norm,none,4,512,0.0,0.98046875,0.98046875,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,29,uci_internal_fixed,blur_noise_to_clean,norm,all,4,512,0.0,0.98046875,0.98046875,0.0,0.0,0.0,0.0,0.0
