experiment_id,method,intervention,washout_batches,direction,panel_id,accuracy,nll,brier,ece15,seconds,updates,skipped,recoveries,n_seeds,n_scenarios_min,n_scenarios_max
stage_a_uci_v1,sar_complete,aux,0,ab,uci_internal_fixed,0.8616536458333334,0.5136911208914686,0.21403761550077616,0.07898263321143657,0.18016331667119323,16.0,0.0,8.5,3,2,2
stage_a_uci_v1,sar_complete,aux,0,ba,uci_internal_fixed,0.8616536458333334,0.5136918991569656,0.21403775275629702,0.07898188026443755,0.2452455499975864,16.0,0.0,8.5,3,2,2
stage_a_uci_v1,sar_complete,aux,4,ab,uci_internal_fixed,0.8616536458333334,0.5136921476014341,0.21403785842504322,0.07898169428309054,0.17448746666680862,16.0,0.0,8.5,3,2,2
stage_a_uci_v1,sar_complete,aux,4,ba,uci_internal_fixed,0.8616536458333334,0.5136921476014341,0.21403785842504322,0.07898169428309054,0.1696850999990905,16.0,0.0,8.5,3,2,2
stage_a_uci_v1,sar_complete,none,0,ab,uci_internal_fixed,0.861328125,0.5138863357021054,0.21414417125556526,0.07925299168666443,0.16957990000082637,16.0,0.0,12.833333333333334,3,2,2
stage_a_uci_v1,sar_complete,none,0,ba,uci_internal_fixed,0.861328125,0.5138358542693372,0.21413102141123852,0.0792531270536798,0.16099308333408166,16.0,0.0,12.333333333333334,3,2,2
stage_a_uci_v1,sar_complete,none,4,ab,uci_internal_fixed,0.861328125,0.5141057965680674,0.21417164845120007,0.07928688614591352,0.1899518000039582,16.0,0.0,10.166666666666666,3,2,2
stage_a_uci_v1,sar_complete,none,4,ba,uci_internal_fixed,0.8616536458333334,0.5141350032858429,0.2141765961736135,0.07896337537981624,0.19331015000110097,16.0,0.0,10.0,3,2,2
stage_a_uci_v1,sar_complete,optimizer,0,ab,uci_internal_fixed,0.861328125,0.5138863386224921,0.21414417126145927,0.07925298877045095,0.16139296666854833,16.0,0.0,12.833333333333334,3,2,2
stage_a_uci_v1,sar_complete,optimizer,0,ba,uci_internal_fixed,0.861328125,0.5138358755361777,0.214131032451684,0.07925311549218288,0.1922025666669166,16.0,0.0,12.333333333333334,3,2,2
stage_a_uci_v1,sar_complete,optimizer,4,ab,uci_internal_fixed,0.861328125,0.5141057965680674,0.21417164845120007,0.07928688614591352,0.16054633333260424,16.0,0.0,10.166666666666666,3,2,2
stage_a_uci_v1,sar_complete,optimizer,4,ba,uci_internal_fixed,0.8616536458333334,0.5141350032858429,0.2141765961736135,0.07896337537981624,0.17039081666735,16.0,0.0,10.0,3,2,2
stage_a_uci_v1,sar_complete,optimizer_aux,0,ab,uci_internal_fixed,0.8616536458333334,0.5136911208914686,0.21403761550077616,0.07898263321143657,0.1720204333323636,16.0,0.0,8.5,3,2,2
stage_a_uci_v1,sar_complete,optimizer_aux,0,ba,uci_internal_fixed,0.8616536458333334,0.5136918991569656,0.21403775275629702,0.07898188026443755,0.19627746666810705,16.0,0.0,8.5,3,2,2
stage_a_uci_v1,sar_complete,optimizer_aux,4,ab,uci_internal_fixed,0.8616536458333334,0.5136921476014341,0.21403785842504322,0.07898169428309054,0.21176350000071884,16.0,0.0,8.5,3,2,2
stage_a_uci_v1,sar_complete,optimizer_aux,4,ba,uci_internal_fixed,0.8616536458333334,0.5136921476014341,0.21403785842504322,0.07898169428309054,0.19537920000342027,16.0,0.0,8.5,3,2,2
stage_a_uci_v1,sar_complete,parameters,0,ab,uci_internal_fixed,0.861328125,0.5138873977194044,0.21414441399914164,0.07925201735986052,0.1487360333364146,16.0,0.0,12.833333333333334,3,2,2
stage_a_uci_v1,sar_complete,parameters,0,ba,uci_internal_fixed,0.861328125,0.5138363287174706,0.2141312257386754,0.07925276788446722,0.15503706667125997,16.0,0.0,12.333333333333334,3,2,2
stage_a_uci_v1,sar_complete,parameters,4,ab,uci_internal_fixed,0.861328125,0.5141057965680674,0.21417164845120007,0.07928688614591352,0.16593934999885576,16.0,0.0,10.166666666666666,3,2,2
stage_a_uci_v1,sar_complete,parameters,4,ba,uci_internal_fixed,0.8616536458333334,0.5141350032858429,0.2141765961736135,0.07896337537981624,0.15509860000020123,16.0,0.0,10.0,3,2,2
stage_a_uci_v1,sar_complete,parameters_aux,0,ab,uci_internal_fixed,0.8616536458333334,0.5136921476014341,0.21403785842504322,0.07898169428309054,0.2376899000034124,16.0,0.0,8.5,3,2,2
